,budget,genres,id,keywords,title,overview,popularity,production,runtime,tagline,vote_average,vote_count
17,380000000,adventure  action  fantasy,1865,sea  captain  mutiny  sword  prime minister  sailing  silver  ship  duke  mermaid  pirate  soldier  battle  swashbuckler  aftercreditsstinger  3d,pirates of the caribbean  on stranger tides,Captain Jack Sparrow crosses paths with a woman from his past  and he s not sure if it s love    or if she s a ruthless con artist who s using him to find the fabled Fountain of Youth  When she forces him aboard the Queen Anne s Revenge  the ship of the formidable pirate Blackbeard  Jack finds himself on an unexpected adventure in which he doesn t know who to fear more  Blackbeard or the woman from his past ,135.413856,walt disney pictures  jerry bruckheimer films  moving picture company  mpc ,136.0,live forever or die trying ,6.4,4948
18,225000000,action  comedy  science fiction,41154,time travel  time machine  alien  fictional government agency  seeing the future  changing history,men in black 3,Agents J  Will Smith  and K  Tommy Lee Jones  are back   in time  J has seen some inexplicable things in his 15 years with the Men in Black  but nothing  not even aliens  perplexes him as much as his wry  reticent partner  But when K s life and the fate of the planet are put at stake  Agent J will have to travel back in time to put things right  J discovers that there are secrets to the universe that K never told him   secrets that will reveal themselves as he teams up with the young Agent K  Josh Brolin  to save his partner  the agency  and the future of humankind ,52.035179,amblin entertainment  media magik entertainment  imagenation abu dhabi fz  hemisphere media capital  parkes macdonald productions,106.0,they are back    in time ,6.2,4160
19,250000000,action  adventure  fantasy,122917,corruption  elves  dwarves  orcs  middle earth  tolkien   hobbit  dragon  battle  unlikely friendship  epic battle  sword and sorcery,the hobbit  the battle of the five armies,Immediately after the events of The Desolation of Smaug  Bilbo and the dwarves try to defend Erebor s mountain of treasure from others who claim it  the men of the ruined Laketown and the elves of Mirkwood  Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor  fueled by the rise of the dark lord Sauron  Dwarves  elves and men must unite  and the hope for Middle Earth falls into Bilbo s hands ,120.965743,wingnut films  new line cinema  warner bros  pictures  3foot7  metro goldwyn mayer  mgm ,144.0,witness the defining chapter of the middle earth saga,7.1,4760
20,215000000,action  adventure  fantasy,1930,loss of father  vigilante  serum  marvel comic  scientific experiment  spider bite  masked vigilante  reboot  super powers  genetic engineering  social outcast  duringcreditsstinger,the amazing spider man,Peter Parker is an outcast high schooler abandoned by his parents as a boy  leaving him to be raised by his Uncle Ben and Aunt May  Like most teenagers  Peter is trying to figure out who he is and how he got to be the person he is today  As Peter discovers a mysterious briefcase that belonged to his father  he begins a quest to understand his parents  disappearance   leading him directly to Oscorp and the lab of Dr  Curt Connors  his father s former partner  As Spider Man is set on a collision course with Connors  alter ego  The Lizard  Peter will make life altering choices to use his powers and shape his destiny to become a hero ,89.866276,columbia pictures  laura ziskin productions  marvel entertainment,136.0,the untold story begins ,6.5,6586
21,200000000,action  adventure,20662,robin hood  archer  knight  sherwood forest  bow and arrow  middle ages  medieval  king of england,robin hood,When soldier Robin happens upon the dying Robert of Loxley  he promises to return the man s sword to his family in Nottingham  There  he assumes Robert s identity  romances his widow  Marion  and draws the ire of the town s sheriff and King John s henchman  Godfrey ,37.668301,imagine entertainment  universal pictures  scott free productions  relativity media,140.0,rise and rise again  until lambs become lions ,6.2,1398
22,250000000,adventure  fantasy,57158,elves  dwarves  orcs  hobbit  dragon  wizard  sword and sorcery,the hobbit  the desolation of smaug,The Dwarves  Bilbo and Gandalf have successfully escaped the Misty Mountains  and Bilbo has gained the One Ring  They all continue their journey to get their gold back from the Dragon  Smaug ,94.370564,wingnut films  new line cinema  warner bros  pictures  metro goldwyn mayer  mgm ,161.0,beyond darkness    beyond desolation    lies the greatest danger of all ,7.6,4524
23,180000000,adventure  fantasy,2268,england  compass  experiment  lordship  uncle  polar bear  orphan  animal  based on young adult novel,the golden compass,After overhearing a shocking secret  precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North  unaware that it s part of her destiny ,42.990906,new line cinema  ingenious film partners  depth of field  scholastic productions,113.0,there are worlds beyond our own   the compass will show the way ,5.8,1303
25,200000000,drama  romance  thriller,597,shipwreck  iceberg  ship  panic  titanic  ocean liner  epic  rich woman   poor man  love  disaster  tragic love  class differences  imax  star crossed lovers  steerage  salvage  rich snob  3d  1910s,titanic,84 years later  a 101 year old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert  Brock Lovett  Lewis Bodine  Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912  on a ship called Titanic when young Rose boards the departing ship with the upper class passengers and her mother  Ruth DeWitt Bukater  and her fiancé  Caledon Hockley  Meanwhile  a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third class tickets to the ship in a game  And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th  1912 at 2 20 in the morning ,100.025899,paramount pictures  twentieth century fox film corporation  lightstorm entertainment,194.0,nothing on earth could come between them ,7.5,7562
26,250000000,adventure  action  science fiction,271110,civil war  war  marvel comic  sequel  superhero  based on comic book  imax  aftercreditsstinger  duringcreditsstinger  marvel cinematic universe  3d,captain america  civil war,Following the events of Age of Ultron  the collective governments of the world pass an act designed to regulate all superhuman activity  This polarizes opinion amongst the Avengers  causing two factions to side with Iron Man or Captain America  which causes an epic battle between former allies ,198.372395,studio babelsberg  marvel studios  walt disney studios motion pictures  vita ray dutch productions  iii   deluxe digital studios,147.0,divided we fall,7.1,7241
28,150000000,action  adventure  science fiction  thriller,135397,monster  dna  tyrannosaurus rex  velociraptor  island  sequel  suspense  disaster  escape  dinosaur  amusement park  animal attack  theme park  jurassic park  3d  animal horror,jurassic world,Twenty two years after the events of Jurassic Park  Isla Nublar now features a fully functioning dinosaur theme park  Jurassic World  as originally envisioned by John Hammond ,418.708552,universal studios  amblin entertainment  legendary pictures  fuji television network  dentsu,124.0,the park is open ,6.5,8662
29,200000000,action  adventure  thriller,37724,spy  secret agent  sociopath  killer  art gallery  british secret service  istanbul turkey  imax  uzi  booby trap  impersonating a police officer  macao,skyfall,When Bond s latest assignment goes gravely wrong and agents around the world are exposed  MI6 is attacked forcing M to relocate the agency  These events cause her authority and position to be challenged by Gareth Mallory  the new Chairman of the Intelligence and Security Committee  With MI6 now compromised from both inside and out  M is left with one ally she can trust  Bond  007 takes to the shadows   aided only by field agent  Eve   following a trail to the mysterious Silva  whose lethal and hidden motives have yet to reveal themselves ,93.004993,columbia pictures,143.0,think on your sins ,6.9,7604
30,200000000,action  adventure  fantasy,558,dual identity  love of one s life  pizza boy  marvel comic  sequel  superhero  doctor  scientist  tentacle  death  super villain,spider man 2,Peter Parker is going through a major identity crisis  Burned out from being Spider Man  he decides to shelve his superhero alter ego  which leaves the city suffering in the wake of carnage left by the evil Doc Ock  In the meantime  Parker still can t act on his feelings for Mary Jane Watson  a girl he s loved since childhood ,35.149586,columbia pictures  laura ziskin productions  marvel enterprises,127.0,there s a hero in all of us ,6.7,4321
31,200000000,action  adventure  science fiction,68721,terrorist  war on terror  tennessee  malibu  marvel comic  superhero  based on comic book  tony stark  iron man  aftercreditsstinger  marvel cinematic universe  mandarin  3d  war machine  iron patriot  extremis,iron man 3,When Tony Stark s world is torn apart by a formidable terrorist called the Mandarin  he starts an odyssey of rebuilding and retribution ,77.68208,marvel studios,130.0,unleash the power behind the armor ,6.8,8806
32,200000000,family  fantasy  adventure,12155,based on novel  fictional place  queen  fantasy  alice in wonderland  fantasy world  3d,alice in wonderland,Alice  an unpretentious and individual 19 year old  is betrothed to a dunce of an English nobleman  At her engagement party  she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit  Arriving in a strange and surreal place called  Underland   she finds herself in a world that resembles the nightmares she had as a child  filled with talking animals  villainous queens and knights  and frumious bandersnatches  Alice realizes that she is there for a reason   to conquer the horrific Jabberwocky and restore the rightful queen to her throne ,78.530105,walt disney pictures  team todd  tim burton productions  roth films  zanuck company  the,108.0,you re invited to a very important date ,6.4,4645
35,150000000,science fiction  action  adventure,8373,egypt  sun  chaos  symbol  artifact  transformers  tank  robot  imax  duringcreditsstinger,transformers  revenge of the fallen,Sam Witwicky leaves the Autobots behind for a normal life  But when his mind is filled with cryptic symbols  the Decepticons target him and he is dragged back into the Transformers  war ,21.939663,paramount pictures  dreamworks skg  amblin entertainment  di bonaventura pictures  platinum dunes  hasbro studios  revolution sun studios,150.0,revenge is coming ,6.0,3138
36,210000000,science fiction  action  adventure,91314,sequel  alien  transformers  giant robot  robot  imax  transforming robot,transformers  age of extinction,As humanity picks up the pieces  following the conclusion of  Transformers  Dark of the Moon   Autobots and Decepticons have all but vanished from the face of the planet  However  a group of powerful  ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control   all while an ancient  powerful Transformer menace sets Earth in his cross hairs ,116.840296,paramount pictures  amblin entertainment  di bonaventura pictures  platinum dunes  china movie channel  hasbro studios  ian bryce productions  revolution sun studios,165.0,this is not war  it s extinction ,5.8,3095
37,200000000,fantasy  adventure  family,68728,circus  witch  magic  hope  illusion  lost  magic trick  wizard  3d,oz  the great and powerful,Oscar Diggs  a small time circus illusionist and con artist  is whisked from Kansas to the Land of Oz where the inhabitants assume he s the great wizard of prophecy  there to save Oz from the clutches of evil ,46.985445,walt disney pictures  roth films,130.0,in oz  nothing is what it seems,5.7,3530
38,200000000,action  adventure  fantasy,102382,obsession  marvel comic  sequel  based on comic book  electrocution  medical experiment  electricity  super powers,the amazing spider man 2,For Peter Parker  life is busy  Between taking out the bad guys as Spider Man and spending time with the person he loves  Gwen Stacy  high school graduation cannot come quickly enough  Peter has not forgotten about the promise he made to Gwen s father to protect her by staying away  but that is a promise he cannot keep  Things will change for Peter when a new villain  Electro  emerges  an old friend  Harry Osborn  returns  and Peter uncovers new clues about his past ,89.270217,columbia pictures  marvel enterprises  avi arad productions  matt tolmach productions,142.0,no more secrets ,6.5,4179
39,170000000,adventure  action  science fiction,20526,artificial intelligence  secret identity  computer program  dystopia  computer  deception  duel  motorcycle  neon light  autocracy,tron  legacy,Sam Flynn  the tech savvy and daring son of Kevin Flynn  investigates his father s disappearance and is pulled into The Grid  With the help of a mysterious program named Quorra  Sam quests to stop evil dictator Clu from crossing into the real world ,73.79505,walt disney pictures  liveplanet  prana studios  sean bailey productions  revolution sun studios  kontsept film company,125.0,the game has changed ,6.3,2841
40,200000000,animation  family  adventure  comedy,49013,car race  sequel  comedy  anthropomorphism  best friend  duringcreditsstinger,cars 2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race  But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own  international espionage ,49.98659,walt disney pictures  pixar animation studios,106.0,ka ciao ,5.8,2033
41,200000000,adventure  action  thriller  science fiction,44912,dc comics  transformation  superhero  alien  alien infection  magical object  protector  super powers  origin  3d,green lantern,For centuries  a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order  Each Green Lantern wears a ring that grants him superpowers  But when a new enemy called Parallax threatens to destroy the balance of power in the Universe  their fate and the fate of Earth lie in the hands of the first human ever recruited ,51.872839,de line pictures  warner bros   dc entertainment,114.0,in our darkest hour  there will be light ,5.1,2487
42,200000000,animation  family  comedy,10193,hostage  college  toy  barbie  animation  escape  day care  teddy bear  duringcreditsstinger  toy comes to life  personification  inanimate objects coming to life  toy story,toy story 3,Woody  Buzz  and the rest of Andy s toys haven t been played with in years  With Andy about to go to college  the gang find themselves accidentally left at a nefarious day care center  The toys must band together to escape and return home to Andy ,59.995418,walt disney pictures  pixar animation studios,103.0,no toy gets left behind ,7.6,4597
43,200000000,action  science fiction  thriller,534,saving the world  artificial intelligence  prophecy  san francisco  cyborg  killer robot  gas station  post apocalyptic  dystopia  army  firearm  wartime  los angeles,terminator salvation,All grown up in post apocalyptic 2018  John Connor must lead the resistance of humans against the increasingly dominating militaristic robots  But when Marcus Wright appears  his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past    and whether he s friend or foe ,71.862892,columbia pictures  the halcyon company  wonderland sound and vision  warner bros ,115.0,the end begins ,5.9,2463
44,190000000,action,168259,car race  speed  revenge  suspense  car  race  muscle car,furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother ,102.322217,universal pictures  original film  fuji television network  dentsu  one race films  china film co   québec production services tax credit  media rights capital  mrc   abu dhabi film commission  colorado office of film  television   media,137.0,vengeance hits home,7.3,4176
45,200000000,action  drama  horror  science fiction  thriller,72190,dystopia  apocalypse  zombie  nuclear weapons  multiple perspectives  zombie apocalypse,world war z,Life for former United Nations investigator Gerry Lane and his family seems content  Suddenly  the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies  After barely escaping the chaos  Lane is persuaded to go on a mission to investigate this disease  What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls ,81.834855,paramount pictures  gk films  skydance productions  hemisphere media capital  apparatus productions  latina pictures  2dux²,116.0,remember philly ,6.7,5560
46,250000000,action  adventure  fantasy  science fiction,127585,1970s  mutant  time travel  marvel comic  based on comic book  superhuman  storm  beast  aftercreditsstinger  changing the past or future,x men  days of future past,The ultimate X Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past   to save our future ,118.078691,twentieth century fox film corporation  donners  company  marvel entertainment  bad hat harry productions  tsg entertainment  down productions  revolution sun studios,131.0,to save the future  they must alter the past,7.5,6032
48,195000000,action  family  fantasy,81005,based on fairy tale  giant,jack the giant slayer,The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants  Unleashed on the Earth for the first time in centuries  the giants strive to reclaim the land they once lost  forcing the young man  Jack into the battle of his life to stop them  Fighting for a kingdom  its people  and the love of a brave princess  he comes face to face with the unstoppable warriors he thought only existed in legend and gets the chance to become a legend himself ,43.349855,new line cinema  original film  legendary pictures  warner bros   big kid pictures  bad hat harry productions,114.0,prepare for a giant adventure,5.5,2598
50,150000000,adventure  fantasy  action  romance,9543,persia  sandstorm  brother against brother  armageddon  regent  based on video game,prince of persia  the sands of time,A rogue prince reluctantly joins forces with a mysterious princess and together  they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time   gift from the gods that can reverse time and allow its possessor to rule the world ,62.169881,walt disney pictures  jerry bruckheimer films,116.0,defy the future,6.2,2317
51,180000000,action  science fiction  adventure,68726,dystopia  giant robot  giant monster  apocalypse  imax  duringcreditsstinger  3d,pacific rim,When legions of monstrous creatures  known as Kaiju  started rising from the sea  a war began that would take millions of lives and consume humanity s resources for years on end  To combat the giant Kaiju  a special type of weapon was devised  massive robots  called Jaegers  which are controlled simultaneously by two pilots whose minds are locked in a neural bridge  But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju  On the verge of defeat  the forces defending mankind have no choice but to turn to two unlikely heroes a washed up former pilot  Charlie Hunnam  and an untested trainee  Rinko Kikuchi  who are teamed to drive a legendary but seemingly obsolete Jaeger from the past  Together  they stand as mankind s last hope against the mounting apocalypse ,56.523205,legendary pictures  warner bros   disney double dare you  ddy   indochina productions,131.0,to fight monsters  we created monsters,6.7,4794
52,195000000,action  science fiction  adventure,38356,moon  spacecraft  traitor  bodyguard  alien planet  based on cartoon  transformers  giant robot  sabotage  word domination  commando  duringcreditsstinger,transformers  dark of the moon,Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot leader Optimus Prime  The film centers around the space race between the USSR and the USA  suggesting there was a hidden Transformers role in it all that remains one of the planet s most dangerous secrets ,28.529607,paramount pictures  di bonaventura pictures  indochina productions  hasbro studios,154.0,the invasion we always feared  an enemy we never expected ,6.1,3299
53,185000000,adventure  action,217,saving the world  riddle  whip  treasure  mexico city  leather jacket  machinegun  alien phenomenons  maya civilization  peru  treasure hunt  nuclear explosion  refrigerator  archaeologist  indiana jones  archeology ,indiana jones and the kingdom of the crystal skull,Set during the Cold War  the Soviets   led by sword wielding Irina Spalko   are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold  After being captured and then escaping from them  Indy is coerced to head to Peru at the behest of a young man whose friend   and Indy s colleague   Professor Oxley has been captured for his knowledge of the skull s whereabouts ,75.674458,lucasfilm  paramount pictures,122.0,the adventure continues      ,5.7,2495
54,175000000,adventure  animation  family,105864,tyrannosaurus rex  friends  alternate history  dinosaur  fear  storm  nature  human  journey,the good dinosaur,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend ,51.692953,walt disney pictures  pixar animation studios,93.0,little arms with big attitude,6.6,1736
55,185000000,animation  adventure  comedy  family  action  fantasy,62177,scotland  rebel  bravery  kingdom  archer  wish  bear  scot  rebellious daughter  turns into animal  archery  ruins  aftercreditsstinger  peace offering  woman director  courage  3d,brave,Brave is set in the mystical Scottish Highlands  where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor  An unruly daughter and an accomplished archer  Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom  In an attempt to set things right  Mérida seeks out an eccentric old Wise Woman and is granted an ill fated wish  Also figuring into Mérida s quest   and serving as comic relief   are the kingdom s three lords  the enormous Lord MacGuffin  the surly Lord Macintosh  and the disagreeable Lord Dingwall ,125.114374,walt disney pictures  pixar animation studios,93.0,change your fate ,6.7,4641
57,180000000,animation  family,10681,romantic comedy,wall e,WALL E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space  For 700 years he has continued to try and clean up the mess  but has developed some rather interesting human like qualities  When a ship arrives with a sleek new type of robot  WALL E thinks he s finally found a friend and stows away on the ship when it leaves ,66.390712,walt disney pictures  pixar animation studios  fortyfour studios,98.0,an adventure beyond the ordinar e ,7.8,6296
59,200000000,action  adventure  science fiction,14161,civilization  natural disaster  end of the world  disaster  apocalypse  destruction  volcanic eruption  mayan  ark  solar  destruction  of mankind,2012,Dr  Adrian Helmsley  part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms  learns that the earth s core is heating up  He warns U S  President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world s population  the entire race is doomed  Meanwhile  writer Jackson Curtis stumbles on the same information  While the world s leaders race to build  arks  to escape the impending cataclysm  Curtis struggles to find a way to save his family  Meanwhile  volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world ,45.274225,columbia pictures  centropolis entertainment  the mark gordon company  farewell productions,158.0,we were warned ,5.6,4903
60,200000000,animation  drama,17979,holiday  based on novel  victorian england  money  christmas eve  scrooge  christmas carol  ghost  lesson  charles dickens  christmas,a christmas carol,Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence  what opportunities he wasted in his youth  his current cruelties  and the dire fate that awaits him if he does not change his ways  Scrooge is faced with his own story of growing bitterness and meanness  and must decide what his own future will hold  death or redemption ,39.744242,walt disney  imagemovers,96.0,season s greedings,6.6,1095
61,176000003,science fiction  fantasy  action  adventure,76757,jupiter  space  woman director  3d  interspecies romance,jupiter ascending,In a universe where human genetic material is the most precious commodity  an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty ,85.36908,village roadshow pictures  dune entertainment  anarchos productions  warner bros ,124.0,expand your universe ,5.2,2768
62,180000000,action  adventure,258489,africa  feral child  tarzan  jungle  animal attack,the legend of tarzan,Tarzan  having acclimated to life in London  is called back to his former home in the jungle to investigate the activities at a mining encampment ,42.741719,village roadshow pictures  dark horse entertainment  jerry weintraub productions  ratpac dune entertainment  beagle pug films  riche productions  village roadshow films north america,109.0,human  nature ,5.5,2430
64,178000000,science fiction,246655,mutant  supernatural powers  marvel comic  superhero  based on comic book  superhuman  apocalypse  superhero team  world domination  aftercreditsstinger  1980s,x men  apocalypse,After the re emergence of the world s first mutant  world destroyer Apocalypse  the X Men must unite to defeat his extinction level plan ,139.272042,twentieth century fox film corporation  donners  company  marvel entertainment  bad hat harry productions  tsg entertainment  kinberg genre,144.0,only the strong will survive,6.4,4721
65,185000000,drama  action  crime  thriller,155,dc comics  crime fighter  secret identity  scarecrow  sadism  chaos  gotham city  vigilante  joker  superhero  based on comic book  tragic hero  organized crime  criminal mastermind  district attorney  imax  super villain  super powers  batman,the dark knight,Batman raises the stakes in his war on crime  With the help of Lt  Jim Gordon and District Attorney Harvey Dent  Batman sets out to dismantle the remaining criminal organizations that plague the streets  The partnership proves to be effective  but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker ,187.322927,dc comics  legendary pictures  warner bros   dc entertainment  syncopy,152.0,why so serious ,8.2,12002
